{51C9D60D-6D41-44BD-9136-C4933510DB2D},urn:nbn:fi:csc-kata20170613100729794850
{83CE79F8-4DF5-4B8A-B431-77FAC6195603},urn:nbn:fi:csc-kata20170613100734993314
{54CB6655-3038-4FAC-9822-5BADA622570F},urn:nbn:fi:csc-kata20170613100749819973
{BDD349C3-3656-4B3C-A590-77901C058DA2},urn:nbn:fi:csc-kata20170613100739843750
{D7F3685D-0432-4FC3-B0D4-13E798050A67},urn:nbn:fi:csc-kata20170613100743495080
{593D9E64-4289-4B7B-A946-7A59C763C904},urn:nbn:fi:csc-kata20170613100745528969
{2F164F22-A4F9-468A-97E5-717B0B3D0E7B},urn:nbn:fi:csc-kata20170613100751862041
{4CFB1D5B-F47E-4E92-918A-63EC5BB9C217},urn:nbn:fi:csc-kata20170613100755354524
{356F0345-ABFE-4245-8231-BE4BFA83C541},urn:nbn:fi:csc-kata20170613100757414314
{31B11BD6-7886-447C-8A24-2B8FFE6B2D07},urn:nbn:fi:csc-kata20170613100801188102
{8462E50B-16BD-4C7F-9A79-F3DC6BFA1080},urn:nbn:fi:csc-kata20170613100803289414
{61D3FA7B-D8AC-40BA-A552-9FCED8F87375},urn:nbn:fi:csc-kata20170613100807182764
{1E97AFFB-BFDB-4077-BEDD-BE5A7D971C8E},urn:nbn:fi:csc-kata20170613100809133457
{1E11A44F-4987-4FF2-B55B-A3F94739FEE5},urn:nbn:fi:csc-kata20170613100813236287
{E4505311-A27A-4CD5-B207-89EFEEFE48CF},urn:nbn:fi:csc-kata20170613100817159225
{58AAFEFC-1429-4343-8EE2-F5E136E0A276},urn:nbn:fi:csc-kata20170613100819199180
{2F7CC7D6-380E-4E77-834F-7682EC6BC4FF},urn:nbn:fi:csc-kata20170613100822732739
{FF890247-EDD4-45E2-97BE-4570039870B7},urn:nbn:fi:csc-kata20170613100824788965
{2FAA5D6B-C053-465E-812C-119798581F5C},urn:nbn:fi:csc-kata20170613100829704610
{C2B3FC73-060B-4053-BA04-54D86F4DE7E5},urn:nbn:fi:csc-kata20170613100833381426
{5F14DCDF-6A2C-4A67-9035-BC73D0ED60B0},urn:nbn:fi:csc-kata20170613100835409467
{033E574E-3B6D-4A40-A2BC-8C50C8FA86E0},urn:nbn:fi:csc-kata20170613100730521915
{FB936A19-421D-486D-95AC-009BD53AA1B2},urn:nbn:fi:csc-kata20170613100734006960
{1A50B09C-2DEF-46C0-8664-19A3A5BF89CE},urn:nbn:fi:csc-kata20170613100738814111
{F41D131D-B103-4726-B291-E43B49D136A2},urn:nbn:fi:csc-kata20170613100744495268
{7AC30A3E-8E38-4717-8D2E-80585623212B},urn:nbn:fi:csc-kata20170613100746498580
69b7df80-3d67-11e2-941e-005056c00008,urn:nbn:fi:csc-kata20170613100750847954
{8D4119C7-23C6-419C-B874-2FB4C8DAEC44},urn:nbn:fi:csc-kata20170613100756379621
{EA35908B-1AD2-4C93-B437-A3BB9ADA80F9},urn:nbn:fi:csc-kata20170613100802288883
{3E35CBD1-1C57-4E17-96EC-6E41256E4619},urn:nbn:fi:csc-kata20170613100804299743
{B9487289-0C02-48E4-A26F-DAACDA60C462},urn:nbn:fi:csc-kata20170613100806229622
{939AE4E5-332A-4B0C-B9BF-96E0F16620A0},urn:nbn:fi:csc-kata20170613100810100352
{313F5784-71A0-46C2-A5B2-86AD9B17A4E8},urn:nbn:fi:csc-kata20170613100814245577
{348DFB97-5F9F-4902-9152-23B0C9505673},urn:nbn:fi:csc-kata20170613100816184638
